chromosome,gene,transcript,canonical,lof.oe_ci.upper,lof.oe_ci.upper_bin_decile,trimester,group,uni_prot,protein,rowsum,rank,norm_rank
chr19,CDC37,ENST00000222005,TRUE,0.321,0,Third,PPROM,Q16543,CDC37,355847,947,0.8128755364806867
NA,CDC42BPB,NM_006035.4,TRUE,0.235,NA,Second,Control,Q9Y5S2,MRCKB,188853,510,0.43776824034334766
NA,CDC42BPB,NM_006035.4,TRUE,0.235,NA,Second,sPTD,Q9Y5S2,MRCKB,119018,535,0.4592274678111588
NA,CDC42BPB,NM_006035.4,TRUE,0.235,NA,Second,PPROM,Q9Y5S2,MRCKB,145239,424,0.3639484978540773
NA,CDC42BPB,NM_006035.4,TRUE,0.235,NA,Third,Control,Q9Y5S2,MRCKB,170261,522,0.448068669527897
NA,CDC42BPB,NM_006035.4,TRUE,0.235,NA,Third,sPTD,Q9Y5S2,MRCKB,84758,394,0.3381974248927039
NA,CDC42BPB,NM_006035.4,TRUE,0.235,NA,Third,PPROM,Q9Y5S2,MRCKB,253807,593,0.5090128755364807
chr14,CDC42BPB,ENST00000361246,TRUE,0.235,0,Second,Control,Q9Y5S2,MRCKB,188853,510,0.43776824034334766
chr14,CDC42BPB,ENST00000361246,TRUE,0.235,0,Second,sPTD,Q9Y5S2,MRCKB,119018,535,0.4592274678111588
chr14,CDC42BPB,ENST00000361246,TRUE,0.235,0,Second,PPROM,Q9Y5S2,MRCKB,145239,424,0.3639484978540773
chr14,CDC42BPB,ENST00000361246,TRUE,0.235,0,Third,Control,Q9Y5S2,MRCKB,170261,522,0.448068669527897
chr14,CDC42BPB,ENST00000361246,TRUE,0.235,0,Third,sPTD,Q9Y5S2,MRCKB,84758,394,0.3381974248927039
chr14,CDC42BPB,ENST00000361246,TRUE,0.235,0,Third,PPROM,Q9Y5S2,MRCKB,253807,593,0.5090128755364807
NA,CDH1,NM_004360.5,TRUE,0.514,NA,Second,Control,P12830,Cadherin E,119448,334,0.28669527896995706
NA,CDH1,NM_004360.5,TRUE,0.514,NA,Second,sPTD,P12830,Cadherin E,174232,803,0.6892703862660944
NA,CDH1,NM_004360.5,TRUE,0.514,NA,Second,PPROM,P12830,Cadherin E,303639,1071.5,0.9197424892703864
NA,CDH1,NM_004360.5,TRUE,0.514,NA,Third,Control,P12830,Cadherin E,139168,411,0.35278969957081546
NA,CDH1,NM_004360.5,TRUE,0.514,NA,Third,sPTD,P12830,Cadherin E,251661,915,0.7854077253218884
NA,CDH1,NM_004360.5,TRUE,0.514,NA,Third,PPROM,P12830,Cadherin E,157211,155.5,0.1334763948497854
chr16,CDH1,ENST00000261769,TRUE,0.514,1,Second,Control,P12830,Cadherin E,119448,334,0.28669527896995706
chr16,CDH1,ENST00000261769,TRUE,0.514,1,Second,sPTD,P12830,Cadherin E,174232,803,0.6892703862660944
chr16,CDH1,ENST00000261769,TRUE,0.514,1,Second,PPROM,P12830,Cadherin E,303639,1071.5,0.9197424892703864
chr16,CDH1,ENST00000261769,TRUE,0.514,1,Third,Control,P12830,Cadherin E,139168,411,0.35278969957081546
chr16,CDH1,ENST00000261769,TRUE,0.514,1,Third,sPTD,P12830,Cadherin E,251661,915,0.7854077253218884
chr16,CDH1,ENST00000261769,TRUE,0.514,1,Third,PPROM,P12830,Cadherin E,157211,155.5,0.1334763948497854
NA,CDH12,NM_004061.5,TRUE,0.668,NA,Second,Control,P55289,Cadherin-12,2993,8,0.00686695278969957
NA,CDH12,NM_004061.5,TRUE,0.668,NA,Second,sPTD,P55289,Cadherin-12,147359,683,0.5862660944206008
NA,CDH12,NM_004061.5,TRUE,0.668,NA,Second,PPROM,P55289,Cadherin-12,268302,752,0.6454935622317597
NA,CDH12,NM_004061.5,TRUE,0.668,NA,Third,Control,P55289,Cadherin-12,10672,26,0.0223175965665236
NA,CDH12,NM_004061.5,TRUE,0.668,NA,Third,sPTD,P55289,Cadherin-12,291812,1051,0.9021459227467812
NA,CDH12,NM_004061.5,TRUE,0.668,NA,Third,PPROM,P55289,Cadherin-12,355847,947,0.8128755364806867
chr5,CDH12,ENST00000382254,TRUE,0.668,2,Second,Control,P55289,Cadherin-12,2993,8,0.00686695278969957
chr5,CDH12,ENST00000382254,TRUE,0.668,2,Second,sPTD,P55289,Cadherin-12,147359,683,0.5862660944206008
chr5,CDH12,ENST00000382254,TRUE,0.668,2,Second,PPROM,P55289,Cadherin-12,268302,752,0.6454935622317597
chr5,CDH12,ENST00000382254,TRUE,0.668,2,Third,Control,P55289,Cadherin-12,10672,26,0.0223175965665236
chr5,CDH12,ENST00000382254,TRUE,0.668,2,Third,sPTD,P55289,Cadherin-12,291812,1051,0.9021459227467812
chr5,CDH12,ENST00000382254,TRUE,0.668,2,Third,PPROM,P55289,Cadherin-12,355847,947,0.8128755364806867
NA,CDH15,NM_004933.3,TRUE,1.41,NA,Second,Control,P55291,CAD15,139416,404,0.34678111587982835
NA,CDH15,NM_004933.3,TRUE,1.41,NA,Second,sPTD,P55291,CAD15,223902,1023,0.8781115879828326
NA,CDH15,NM_004933.3,TRUE,1.41,NA,Second,PPROM,P55291,CAD15,92162,157,0.13476394849785409
NA,CDH15,NM_004933.3,TRUE,1.41,NA,Third,Control,P55291,CAD15,165838,507,0.4351931330472103
NA,CDH15,NM_004933.3,TRUE,1.41,NA,Third,sPTD,P55291,CAD15,199282,745,0.6394849785407726
NA,CDH15,NM_004933.3,TRUE,1.41,NA,Third,PPROM,P55291,CAD15,350264,791.5,0.6793991416309013
chr16,CDH15,ENST00000289746,TRUE,1.41,7,Second,Control,P55291,CAD15,139416,404,0.34678111587982835
chr16,CDH15,ENST00000289746,TRUE,1.41,7,Second,sPTD,P55291,CAD15,223902,1023,0.8781115879828326
chr16,CDH15,ENST00000289746,TRUE,1.41,7,Second,PPROM,P55291,CAD15,92162,157,0.13476394849785409
chr16,CDH15,ENST00000289746,TRUE,1.41,7,Third,Control,P55291,CAD15,165838,507,0.4351931330472103
chr16,CDH15,ENST00000289746,TRUE,1.41,7,Third,sPTD,P55291,CAD15,199282,745,0.6394849785407726
chr16,CDH15,ENST00000289746,TRUE,1.41,7,Third,PPROM,P55291,CAD15,350264,791.5,0.6793991416309013
NA,CDH2,NM_001792.5,TRUE,0.336,NA,Second,Control,P19022,Cadherin-2,237214,634,0.544206008583691
NA,CDH2,NM_001792.5,TRUE,0.336,NA,Second,sPTD,P19022,Cadherin-2,47714,97,0.08326180257510729
NA,CDH2,NM_001792.5,TRUE,0.336,NA,Second,PPROM,P19022,Cadherin-2,130161,353,0.30300429184549355
NA,CDH2,NM_001792.5,TRUE,0.336,NA,Third,Control,P19022,Cadherin-2,223247,663,0.5690987124463519
NA,CDH2,NM_001792.5,TRUE,0.336,NA,Third,sPTD,P19022,Cadherin-2,98548,445,0.38197424892703863
NA,CDH2,NM_001792.5,TRUE,0.336,NA,Third,PPROM,P19022,Cadherin-2,253807,593,0.5090128755364807
chr18,CDH2,ENST00000269141,TRUE,0.336,0,Second,Control,P19022,Cadherin-2,237214,634,0.544206008583691
chr18,CDH2,ENST00000269141,TRUE,0.336,0,Second,sPTD,P19022,Cadherin-2,47714,97,0.08326180257510729
chr18,CDH2,ENST00000269141,TRUE,0.336,0,Second,PPROM,P19022,Cadherin-2,130161,353,0.30300429184549355
chr18,CDH2,ENST00000269141,TRUE,0.336,0,Third,Control,P19022,Cadherin-2,223247,663,0.5690987124463519
chr18,CDH2,ENST00000269141,TRUE,0.336,0,Third,sPTD,P19022,Cadherin-2,98548,445,0.38197424892703863
chr18,CDH2,ENST00000269141,TRUE,0.336,0,Third,PPROM,P19022,Cadherin-2,253807,593,0.5090128755364807
NA,CDH3,NM_001793.6,TRUE,0.823,NA,Second,Control,P22223,P-Cadherin,66040,168,0.14420600858369098
NA,CDH3,NM_001793.6,TRUE,0.823,NA,Second,sPTD,P22223,P-Cadherin,234374,1053,0.903862660944206
NA,CDH3,NM_001793.6,TRUE,0.823,NA,Second,PPROM,P22223,P-Cadherin,303639,1071.5,0.9197424892703864
NA,CDH3,NM_001793.6,TRUE,0.823,NA,Third,Control,P22223,P-Cadherin,154325,460,0.3948497854077253
NA,CDH3,NM_001793.6,TRUE,0.823,NA,Third,sPTD,P22223,P-Cadherin,292278,1054,0.9047210300429184
NA,CDH3,NM_001793.6,TRUE,0.823,NA,Third,PPROM,P22223,P-Cadherin,253807,593,0.5090128755364807
chr16,CDH3,ENST00000264012,TRUE,0.823,3,Second,Control,P22223,P-Cadherin,66040,168,0.14420600858369098
chr16,CDH3,ENST00000264012,TRUE,0.823,3,Second,sPTD,P22223,P-Cadherin,234374,1053,0.903862660944206
chr16,CDH3,ENST00000264012,TRUE,0.823,3,Second,PPROM,P22223,P-Cadherin,303639,1071.5,0.9197424892703864
chr16,CDH3,ENST00000264012,TRUE,0.823,3,Third,Control,P22223,P-Cadherin,154325,460,0.3948497854077253
chr16,CDH3,ENST00000264012,TRUE,0.823,3,Third,sPTD,P22223,P-Cadherin,292278,1054,0.9047210300429184
chr16,CDH3,ENST00000264012,TRUE,0.823,3,Third,PPROM,P22223,P-Cadherin,253807,593,0.5090128755364807
NA,CDH5,NM_001795.5,TRUE,0.661,NA,Second,Control,P33151,Cadherin-5,320435,857,0.7356223175965665
NA,CDH5,NM_001795.5,TRUE,0.661,NA,Second,sPTD,P33151,Cadherin-5,161021,752,0.6454935622317597
NA,CDH5,NM_001795.5,TRUE,0.661,NA,Second,PPROM,P33151,Cadherin-5,95773,216.5,0.18583690987124463
NA,CDH5,NM_001795.5,TRUE,0.661,NA,Third,Control,P33151,Cadherin-5,197741,604,0.5184549356223176
NA,CDH5,NM_001795.5,TRUE,0.661,NA,Third,sPTD,P33151,Cadherin-5,267117,974,0.8360515021459227
NA,CDH5,NM_001795.5,TRUE,0.661,NA,Third,PPROM,P33151,Cadherin-5,366299,1099.5,0.9437768240343348
chr16,CDH5,ENST00000341529,TRUE,0.661,2,Second,Control,P33151,Cadherin-5,320435,857,0.7356223175965665
chr16,CDH5,ENST00000341529,TRUE,0.661,2,Second,sPTD,P33151,Cadherin-5,161021,752,0.6454935622317597
chr16,CDH5,ENST00000341529,TRUE,0.661,2,Second,PPROM,P33151,Cadherin-5,95773,216.5,0.18583690987124463
chr16,CDH5,ENST00000341529,TRUE,0.661,2,Third,Control,P33151,Cadherin-5,197741,604,0.5184549356223176
chr16,CDH5,ENST00000341529,TRUE,0.661,2,Third,sPTD,P33151,Cadherin-5,267117,974,0.8360515021459227
chr16,CDH5,ENST00000341529,TRUE,0.661,2,Third,PPROM,P33151,Cadherin-5,366299,1099.5,0.9437768240343348
NA,CDH6,NM_004932.4,TRUE,0.511,NA,Second,Control,P55285,Cadherin-6,257518,676,0.5802575107296137
NA,CDH6,NM_004932.4,TRUE,0.511,NA,Second,sPTD,P55285,Cadherin-6,90008,332,0.2849785407725322
NA,CDH6,NM_004932.4,TRUE,0.511,NA,Second,PPROM,P55285,Cadherin-6,283380,899.5,0.7721030042918455
NA,CDH6,NM_004932.4,TRUE,0.511,NA,Third,Control,P55285,Cadherin-6,255611,768,0.6592274678111588
NA,CDH6,NM_004932.4,TRUE,0.511,NA,Third,sPTD,P55285,Cadherin-6,56077,229,0.1965665236051502
NA,CDH6,NM_004932.4,TRUE,0.511,NA,Third,PPROM,P55285,Cadherin-6,350264,791.5,0.6793991416309013
chr5,CDH6,ENST00000265071,TRUE,0.511,1,Second,Control,P55285,Cadherin-6,257518,676,0.5802575107296137
chr5,CDH6,ENST00000265071,TRUE,0.511,1,Second,sPTD,P55285,Cadherin-6,90008,332,0.2849785407725322
chr5,CDH6,ENST00000265071,TRUE,0.511,1,Second,PPROM,P55285,Cadherin-6,283380,899.5,0.7721030042918455
chr5,CDH6,ENST00000265071,TRUE,0.511,1,Third,Control,P55285,Cadherin-6,255611,768,0.6592274678111588
chr5,CDH6,ENST00000265071,TRUE,0.511,1,Third,sPTD,P55285,Cadherin-6,56077,229,0.1965665236051502
chr5,CDH6,ENST00000265071,TRUE,0.511,1,Third,PPROM,P55285,Cadherin-6,350264,791.5,0.6793991416309013
NA,CDKN1B,NM_004064.5,TRUE,0.804,NA,Second,Control,P46527,p27Kip1,20214,51,0.04377682403433476
NA,CDKN1B,NM_004064.5,TRUE,0.804,NA,Second,sPTD,P46527,p27Kip1,53809,124,0.10643776824034334
NA,CDKN1B,NM_004064.5,TRUE,0.804,NA,Second,PPROM,P46527,p27Kip1,268302,752,0.6454935622317597
NA,CDKN1B,NM_004064.5,TRUE,0.804,NA,Third,Control,P46527,p27Kip1,36047,91,0.07811158798283262
NA,CDKN1B,NM_004064.5,TRUE,0.804,NA,Third,sPTD,P46527,p27Kip1,126905,523,0.44892703862660943
NA,CDKN1B,NM_004064.5,TRUE,0.804,NA,Third,PPROM,P46527,p27Kip1,144969,39.5,0.03390557939914163
chr12,CDKN1B,ENST00000228872,TRUE,0.804,3,Second,Control,P46527,p27Kip1,20214,51,0.04377682403433476
chr12,CDKN1B,ENST00000228872,TRUE,0.804,3,Second,sPTD,P46527,p27Kip1,53809,124,0.10643776824034334
chr12,CDKN1B,ENST00000228872,TRUE,0.804,3,Second,PPROM,P46527,p27Kip1,268302,752,0.6454935622317597
chr12,CDKN1B,ENST00000228872,TRUE,0.804,3,Third,Control,P46527,p27Kip1,36047,91,0.07811158798283262
chr12,CDKN1B,ENST00000228872,TRUE,0.804,3,Third,sPTD,P46527,p27Kip1,126905,523,0.44892703862660943
chr12,CDKN1B,ENST00000228872,TRUE,0.804,3,Third,PPROM,P46527,p27Kip1,144969,39.5,0.03390557939914163
NA,CDNF,NM_001029954.3,TRUE,1.332,NA,Second,Control,Q49AH0,ARMEL,226995,609,0.5227467811158798
NA,CDNF,NM_001029954.3,TRUE,1.332,NA,Second,sPTD,Q49AH0,ARMEL,36776,51,0.04377682403433476
NA,CDNF,NM_001029954.3,TRUE,1.332,NA,Second,PPROM,Q49AH0,ARMEL,303639,1071.5,0.9197424892703864
NA,CDNF,NM_001029954.3,TRUE,1.332,NA,Third,Control,Q49AH0,ARMEL,108918,305,0.26180257510729615
NA,CDNF,NM_001029954.3,TRUE,1.332,NA,Third,sPTD,Q49AH0,ARMEL,29937,103,0.08841201716738198
NA,CDNF,NM_001029954.3,TRUE,1.332,NA,Third,PPROM,Q49AH0,ARMEL,194647,241,0.2068669527896996
chr10,CDNF,ENST00000465530,TRUE,1.332,7,Second,Control,Q49AH0,ARMEL,226995,609,0.5227467811158798
chr10,CDNF,ENST00000465530,TRUE,1.332,7,Second,sPTD,Q49AH0,ARMEL,36776,51,0.04377682403433476
chr10,CDNF,ENST00000465530,TRUE,1.332,7,Second,PPROM,Q49AH0,ARMEL,303639,1071.5,0.9197424892703864
chr10,CDNF,ENST00000465530,TRUE,1.332,7,Third,Control,Q49AH0,ARMEL,108918,305,0.26180257510729615
chr10,CDNF,ENST00000465530,TRUE,1.332,7,Third,sPTD,Q49AH0,ARMEL,29937,103,0.08841201716738198
chr10,CDNF,ENST00000465530,TRUE,1.332,7,Third,PPROM,Q49AH0,ARMEL,194647,241,0.2068669527896996
NA,CDON,NM_001378964.1,TRUE,0.733,NA,Second,Control,Q4KMG0,CDON,80079,205,0.1759656652360515
NA,CDON,NM_001378964.1,TRUE,0.733,NA,Second,sPTD,Q4KMG0,CDON,161385,755,0.648068669527897
NA,CDON,NM_001378964.1,TRUE,0.733,NA,Second,PPROM,Q4KMG0,CDON,120739,283,0.2429184549356223
NA,CDON,NM_001378964.1,TRUE,0.733,NA,Third,Control,Q4KMG0,CDON,155930,469,0.4025751072961373
NA,CDON,NM_001378964.1,TRUE,0.733,NA,Third,sPTD,Q4KMG0,CDON,58152,238,0.20429184549356225
NA,CDON,NM_001378964.1,TRUE,0.733,NA,Third,PPROM,Q4KMG0,CDON,330589,684,0.5871244635193134
chr11,CDON,ENST00000531738,TRUE,0.733,2,Second,Control,Q4KMG0,CDON,80079,205,0.1759656652360515
chr11,CDON,ENST00000531738,TRUE,0.733,2,Second,sPTD,Q4KMG0,CDON,161385,755,0.648068669527897
chr11,CDON,ENST00000531738,TRUE,0.733,2,Second,PPROM,Q4KMG0,CDON,120739,283,0.2429184549356223
chr11,CDON,ENST00000531738,TRUE,0.733,2,Third,Control,Q4KMG0,CDON,155930,469,0.4025751072961373
chr11,CDON,ENST00000531738,TRUE,0.733,2,Third,sPTD,Q4KMG0,CDON,58152,238,0.20429184549356225
chr11,CDON,ENST00000531738,TRUE,0.733,2,Third,PPROM,Q4KMG0,CDON,330589,684,0.5871244635193134
NA,CFB,NM_001710.6,TRUE,0.719,NA,Second,Control,P00751,Factor B,260250,683,0.5862660944206008
NA,CFB,NM_001710.6,TRUE,0.719,NA,Second,sPTD,P00751,Factor B,58997,149,0.1278969957081545
NA,CFB,NM_001710.6,TRUE,0.719,NA,Second,PPROM,P00751,Factor B,268302,752,0.6454935622317597
NA,CFB,NM_001710.6,TRUE,0.719,NA,Third,Control,P00751,Factor B,195966,596,0.511587982832618
NA,CFB,NM_001710.6,TRUE,0.719,NA,Third,sPTD,P00751,Factor B,36540,136,0.1167381974248927
NA,CFB,NM_001710.6,TRUE,0.719,NA,Third,PPROM,P00751,Factor B,144969,39.5,0.03390557939914163
chr6,CFB,ENST00000425368,TRUE,0.719,2,Second,Control,P00751,Factor B,260250,683,0.5862660944206008
chr6,CFB,ENST00000425368,TRUE,0.719,2,Second,sPTD,P00751,Factor B,58997,149,0.1278969957081545
chr6,CFB,ENST00000425368,TRUE,0.719,2,Second,PPROM,P00751,Factor B,268302,752,0.6454935622317597
chr6,CFB,ENST00000425368,TRUE,0.719,2,Third,Control,P00751,Factor B,195966,596,0.511587982832618
chr6,CFB,ENST00000425368,TRUE,0.719,2,Third,sPTD,P00751,Factor B,36540,136,0.1167381974248927
chr6,CFB,ENST00000425368,TRUE,0.719,2,Third,PPROM,P00751,Factor B,144969,39.5,0.03390557939914163
NA,CFC1,NM_032545.4,TRUE,0.586,NA,Second,Control,P0CG37,CFC1,101195,277,0.23776824034334765
NA,CFC1,NM_032545.4,TRUE,0.586,NA,Second,sPTD,P0CG37,CFC1,146279,675,0.5793991416309013
NA,CFC1,NM_032545.4,TRUE,0.586,NA,Second,PPROM,P0CG37,CFC1,244655,618,0.5304721030042918
NA,CFC1,NM_032545.4,TRUE,0.586,NA,Third,Control,P0CG37,CFC1,127690,372,0.31931330472103003
NA,CFC1,NM_032545.4,TRUE,0.586,NA,Third,sPTD,P0CG37,CFC1,217120,795,0.6824034334763949
NA,CFC1,NM_032545.4,TRUE,0.586,NA,Third,PPROM,P0CG37,CFC1,253807,593,0.5090128755364807
chr2,CFC1,ENST00000259216,TRUE,0.586,2,Second,Control,P0CG37,CFC1,101195,277,0.23776824034334765
chr2,CFC1,ENST00000259216,TRUE,0.586,2,Second,sPTD,P0CG37,CFC1,146279,675,0.5793991416309013
chr2,CFC1,ENST00000259216,TRUE,0.586,2,Second,PPROM,P0CG37,CFC1,244655,618,0.5304721030042918
chr2,CFC1,ENST00000259216,TRUE,0.586,2,Third,Control,P0CG37,CFC1,127690,372,0.31931330472103003
chr2,CFC1,ENST00000259216,TRUE,0.586,2,Third,sPTD,P0CG37,CFC1,217120,795,0.6824034334763949
chr2,CFC1,ENST00000259216,TRUE,0.586,2,Third,PPROM,P0CG37,CFC1,253807,593,0.5090128755364807
NA,CFD,NM_001928.4,TRUE,1.948,NA,Second,Control,P00746,Factor D,107798,296,0.25407725321888414
NA,CFD,NM_001928.4,TRUE,1.948,NA,Second,sPTD,P00746,Factor D,80181,269,0.23090128755364808
NA,CFD,NM_001928.4,TRUE,1.948,NA,Second,PPROM,P00746,Factor D,92162,157,0.13476394849785409
NA,CFD,NM_001928.4,TRUE,1.948,NA,Third,Control,P00746,Factor D,90316,246,0.2111587982832618
NA,CFD,NM_001928.4,TRUE,1.948,NA,Third,sPTD,P00746,Factor D,36172,134,0.1150214592274678
NA,CFD,NM_001928.4,TRUE,1.948,NA,Third,PPROM,P00746,Factor D,253003,504.5,0.4330472103004292
chr19,CFD,ENST00000327726,TRUE,1.948,9,Second,Control,P00746,Factor D,107798,296,0.25407725321888414
chr19,CFD,ENST00000327726,TRUE,1.948,9,Second,sPTD,P00746,Factor D,80181,269,0.23090128755364808
chr19,CFD,ENST00000327726,TRUE,1.948,9,Second,PPROM,P00746,Factor D,92162,157,0.13476394849785409
chr19,CFD,ENST00000327726,TRUE,1.948,9,Third,Control,P00746,Factor D,90316,246,0.2111587982832618
chr19,CFD,ENST00000327726,TRUE,1.948,9,Third,sPTD,P00746,Factor D,36172,134,0.1150214592274678
chr19,CFD,ENST00000327726,TRUE,1.948,9,Third,PPROM,P00746,Factor D,253003,504.5,0.4330472103004292
NA,CFH,NM_000186.4,TRUE,0.43,NA,Second,Control,P08603,Factor H,281946,744,0.6386266094420601
NA,CFH,NM_000186.4,TRUE,0.43,NA,Second,sPTD,P08603,Factor H,98091,382,0.3278969957081545
NA,CFH,NM_000186.4,TRUE,0.43,NA,Second,PPROM,P08603,Factor H,303639,1071.5,0.9197424892703864
NA,CFH,NM_000186.4,TRUE,0.43,NA,Third,Control,P08603,Factor H,230892,692,0.5939914163090129
NA,CFH,NM_000186.4,TRUE,0.43,NA,Third,sPTD,P08603,Factor H,55635,227,0.19484978540772532
NA,CFH,NM_000186.4,TRUE,0.43,NA,Third,PPROM,P08603,Factor H,253807,593,0.5090128755364807
chr1,CFH,ENST00000367429,TRUE,0.43,1,Second,Control,P08603,Factor H,281946,744,0.6386266094420601
chr1,CFH,ENST00000367429,TRUE,0.43,1,Second,sPTD,P08603,Factor H,98091,382,0.3278969957081545
chr1,CFH,ENST00000367429,TRUE,0.43,1,Second,PPROM,P08603,Factor H,303639,1071.5,0.9197424892703864
chr1,CFH,ENST00000367429,TRUE,0.43,1,Third,Control,P08603,Factor H,230892,692,0.5939914163090129
chr1,CFH,ENST00000367429,TRUE,0.43,1,Third,sPTD,P08603,Factor H,55635,227,0.19484978540772532
chr1,CFH,ENST00000367429,TRUE,0.43,1,Third,PPROM,P08603,Factor H,253807,593,0.5090128755364807
NA,CFHR5,NM_030787.4,TRUE,1.466,NA,Second,Control,Q9BXR6,complement factor H-related 5,34445,86,0.07381974248927038
NA,CFHR5,NM_030787.4,TRUE,1.466,NA,Second,sPTD,Q9BXR6,complement factor H-related 5,132524,599.5,0.5145922746781116
NA,CFHR5,NM_030787.4,TRUE,1.466,NA,Second,PPROM,Q9BXR6,complement factor H-related 5,283380,899.5,0.7721030042918455
NA,CFHR5,NM_030787.4,TRUE,1.466,NA,Third,Control,Q9BXR6,complement factor H-related 5,69771,171,0.14678111587982834
NA,CFHR5,NM_030787.4,TRUE,1.466,NA,Third,sPTD,Q9BXR6,complement factor H-related 5,235868,851,0.7304721030042919
NA,CFHR5,NM_030787.4,TRUE,1.466,NA,Third,PPROM,Q9BXR6,complement factor H-related 5,253807,593,0.5090128755364807
chr1,CFHR5,ENST00000256785,TRUE,1.466,8,Second,Control,Q9BXR6,complement factor H-related 5,34445,86,0.07381974248927038
chr1,CFHR5,ENST00000256785,TRUE,1.466,8,Second,sPTD,Q9BXR6,complement factor H-related 5,132524,599.5,0.5145922746781116
chr1,CFHR5,ENST00000256785,TRUE,1.466,8,Second,PPROM,Q9BXR6,complement factor H-related 5,283380,899.5,0.7721030042918455
chr1,CFHR5,ENST00000256785,TRUE,1.466,8,Third,Control,Q9BXR6,complement factor H-related 5,69771,171,0.14678111587982834
chr1,CFHR5,ENST00000256785,TRUE,1.466,8,Third,sPTD,Q9BXR6,complement factor H-related 5,235868,851,0.7304721030042919
chr1,CFHR5,ENST00000256785,TRUE,1.466,8,Third,PPROM,Q9BXR6,complement factor H-related 5,253807,593,0.5090128755364807
NA,CFI,NM_000204.5,TRUE,1.076,NA,Second,Control,P05156,Factor I,158578,458,0.3931330472103004
NA,CFI,NM_000204.5,TRUE,1.076,NA,Second,sPTD,P05156,Factor I,49763,104,0.08927038626609442
NA,CFI,NM_000204.5,TRUE,1.076,NA,Second,PPROM,P05156,Factor I,145239,424,0.3639484978540773
NA,CFI,NM_000204.5,TRUE,1.076,NA,Third,Control,P05156,Factor I,149713,441,0.3785407725321888
NA,CFI,NM_000204.5,TRUE,1.076,NA,Third,sPTD,P05156,Factor I,37367,141,0.12103004291845494
NA,CFI,NM_000204.5,TRUE,1.076,NA,Third,PPROM,P05156,Factor I,253807,593,0.5090128755364807
chr4,CFI,ENST00000394634,TRUE,1.076,5,Second,Control,P05156,Factor I,158578,458,0.3931330472103004
chr4,CFI,ENST00000394634,TRUE,1.076,5,Second,sPTD,P05156,Factor I,49763,104,0.08927038626609442
chr4,CFI,ENST00000394634,TRUE,1.076,5,Second,PPROM,P05156,Factor I,145239,424,0.3639484978540773
chr4,CFI,ENST00000394634,TRUE,1.076,5,Third,Control,P05156,Factor I,149713,441,0.3785407725321888
chr4,CFI,ENST00000394634,TRUE,1.076,5,Third,sPTD,P05156,Factor I,37367,141,0.12103004291845494
chr4,CFI,ENST00000394634,TRUE,1.076,5,Third,PPROM,P05156,Factor I,253807,593,0.5090128755364807
NA,CFL1,NM_005507.3,TRUE,0.408,NA,Second,Control,P23528,Cofilin-1,157546,454,0.38969957081545065
NA,CFL1,NM_005507.3,TRUE,0.408,NA,Second,sPTD,P23528,Cofilin-1,140252,639,0.5484978540772533
NA,CFL1,NM_005507.3,TRUE,0.408,NA,Second,PPROM,P23528,Cofilin-1,179723,507,0.4351931330472103
NA,CFL1,NM_005507.3,TRUE,0.408,NA,Third,Control,P23528,Cofilin-1,219684,655,0.5622317596566524
NA,CFL1,NM_005507.3,TRUE,0.408,NA,Third,sPTD,P23528,Cofilin-1,68880,288,0.24721030042918457
NA,CFL1,NM_005507.3,TRUE,0.408,NA,Third,PPROM,P23528,Cofilin-1,253003,504.5,0.4330472103004292
chr11,CFL1,ENST00000308162,TRUE,0.408,1,Second,Control,P23528,Cofilin-1,157546,454,0.38969957081545065
chr11,CFL1,ENST00000308162,TRUE,0.408,1,Second,sPTD,P23528,Cofilin-1,140252,639,0.5484978540772533
chr11,CFL1,ENST00000308162,TRUE,0.408,1,Second,PPROM,P23528,Cofilin-1,179723,507,0.4351931330472103
chr11,CFL1,ENST00000308162,TRUE,0.408,1,Third,Control,P23528,Cofilin-1,219684,655,0.5622317596566524
chr11,CFL1,ENST00000308162,TRUE,0.408,1,Third,sPTD,P23528,Cofilin-1,68880,288,0.24721030042918457
chr11,CFL1,ENST00000308162,TRUE,0.408,1,Third,PPROM,P23528,Cofilin-1,253003,504.5,0.4330472103004292
NA,CHEK1,NM_001114122.3,TRUE,0.831,NA,Second,Control,O14757,CHK1,313085,841,0.7218884120171674
NA,CHEK1,NM_001114122.3,TRUE,0.831,NA,Second,sPTD,O14757,CHK1,187127,864,0.7416309012875536
NA,CHEK1,NM_001114122.3,TRUE,0.831,NA,Second,PPROM,O14757,CHK1,244655,618,0.5304721030042918
NA,CHEK1,NM_001114122.3,TRUE,0.831,NA,Third,Control,O14757,CHK1,260507,782,0.671244635193133
NA,CHEK1,NM_001114122.3,TRUE,0.831,NA,Third,sPTD,O14757,CHK1,236992,856,0.7347639484978541
NA,CHEK1,NM_001114122.3,TRUE,0.831,NA,Third,PPROM,O14757,CHK1,350264,791.5,0.6793991416309013
chr11,CHEK1,ENST00000438015,TRUE,0.831,3,Second,Control,O14757,CHK1,313085,841,0.7218884120171674
chr11,CHEK1,ENST00000438015,TRUE,0.831,3,Second,sPTD,O14757,CHK1,187127,864,0.7416309012875536
chr11,CHEK1,ENST00000438015,TRUE,0.831,3,Second,PPROM,O14757,CHK1,244655,618,0.5304721030042918
chr11,CHEK1,ENST00000438015,TRUE,0.831,3,Third,Control,O14757,CHK1,260507,782,0.671244635193133
