"hyperedge_id","protein_id"
"EphA1","TGF-b R III"
"EphA1","TIMD3"
"EphA1","TNF sR-I"
"EphA1","TNF sR-II"
"EphA1","TNFSF15"
"EphA1","TPSG1"
"EphA1","TSP2"
"EphA1","TYK2"
"EphA1","Thymidine kinase"
"EphA1","Transketolase"
"EphA1","Triosephosphate isomerase"
"EphA1","Tropomyosin 2"
"EphA1","UB2L3"
"EphA1","UBC9"
"EphA1","ULBP-3"
"EphA1","UNC5H3"
"EphA1","UPK3L"
"EphA1","Ubiquitin+1"
"EphA1","VCAM-1"
"EphA1","VEGF"
"EphA1","VEGF-C"
"EphA1","Vasoactive Intestinal Peptide"
"EphA1","WIF-1"
"EphA1","ZAP70"
"EphA1","a2-HS-Glycoprotein"
"EphA1","amyloid precursor protein"
"EphA1","granzyme A"
"EphA1","hnRNP A2/B1"
"EphA1","kallikrein 12"
"EphA1","kallikrein 13"
"EphA1","kallikrein 8"
"EphA1","prostatic binding protein"
"EphA1","sFRP-3"
"EphA1","sRANKL"
"EphA1","sTie-1"
"EphA1","sTie-2"
"EphA5","14-3-3"
"EphA5","4-1BB"
"EphA5","4-1BB ligand"
"EphA5","40S ribosomal protein SA"
"EphA5","41"
"EphA5","6-Phosphogluconate dehydrogenase"
"EphA5","ABL1"
"EphA5","ACTH"
"EphA5","ADAMTS-4"
"EphA5","ADAMTS-5"
"EphA5","AIF1"
"EphA5","AIP"
"EphA5","AK1A1"
"EphA5","ALCAM"
"EphA5","AMHR2"
"EphA5","AMNLS"
"EphA5","AMPK a1b1g1"
"EphA5","AMPK a2b2g1"
"EphA5","AMPM2"
"EphA5","AREG"
"EphA5","ART"
"EphA5","ASGR1"
"EphA5","ATP synthase beta chain"
"EphA5","ATS1"
"EphA5","ATS15"
"EphA5","Activin A"
"EphA5","Activin AB"
"EphA5","Adiponectin"
"EphA5","Afamin"
"EphA5","Aflatoxin B1 aldehyde reductase"
"EphA5","Aggrecan"
"EphA5","Albumin"
"EphA5","Alkaline phosphatase, bone"
"EphA5","Angiopoietin-1"
"EphA5","Antithrombin III"
"EphA5","Apo E2"
"EphA5","Arylsulfatase A"
"EphA5","B7-H1"
"EphA5","B7-H2"
"EphA5","BAFF Receptor"
"EphA5","BARK1"
"EphA5","BASI"
"EphA5","BCAM"
"EphA5","BDNF"
"EphA5","BGH3"
"EphA5","BGN"
"EphA5","BMP-1"
"EphA5","BMP-6"
"EphA5","BMP-7"
"EphA5","BMP10"
"EphA5","BMPER"
"EphA5","BMX"
"EphA5","BNP"
"EphA5","BOC"
"EphA5","BPSA"
"EphA5","BSSP4"
"EphA5","BST1"
"EphA5","BTG"
"EphA5","BTK"
"EphA5","Bcl-2"
"EphA5","C1-Esterase Inhibitor"
"EphA5","C1q"
"EphA5","C34 gp41 HIV Fragment"
"EphA5","C4"
"EphA5","C4b"
"EphA5","C5b, 6 Complex"
"EphA5","C8"
"EphA5","CAPG"
"EphA5","CATE"
"EphA5","CATZ"
"EphA5","CD226"
"EphA5","CD39"
"EphA5","CD48"
"EphA5","CD70"
"EphA5","CD97"
"EphA5","CDC37"
"EphA5","CDK1/cyclin B"
"EphA5","CDK2/cyclin A"
"EphA5","CDK5/p35"
"EphA5","CDK8/cyclin C"
"EphA5","CDON"
"EphA5","CG073"
"EphA5","CHL1"
"EphA5","CHST6"
"EphA5","CK-BB"
"EphA5","CK2-A1:B"
"EphA5","CK2-A2:B"
"EphA5","CLC1B"
"EphA5","CLC4K"
"EphA5","CLF-1/CLC Complex"
"EphA5","CNTF"
"EphA5","CNTFR alpha"
"EphA5","CNTN2"
"EphA5","CO8A1"
"EphA5","COLEC12"
"EphA5","COMMD7"
"EphA5","CONA1"
"EphA5","CPNE1"
"EphA5","CRDL1"
"EphA5","CRK"
"EphA5","CRTAM"
"EphA5","CS084"
"EphA5","CSK"
"EphA5","CTAP-III"
"EphA5","CTGF"
"EphA5","CYTD"
"EphA5","CaMKK alpha"
"EphA5","Cadherin-5"
"EphA5","Calcineurin"
"EphA5","Calcineurin B a"
"EphA5","Calpain I"
"EphA5","Carbonic anhydrase 6"
"EphA5","Carbonic anhydrase 9"
"EphA5","Carbonic anhydrase VII"
"EphA5","Carbonic anhydrase XIII"
"EphA5","Caspase-2"
"EphA5","Caspase-3"
"EphA5","Cathepsin B"
"EphA5","Coagulation Factor Xa"
"EphA5","Cofilin-1"
"EphA5","Contactin-4"
"EphA5","Contactin-5"
"EphA5","Cripto"
"EphA5","Cyclin B1"
"EphA5","Cyclophilin A"
"EphA5","Cyclophilin F"
"EphA5","Cystatin C"
"EphA5","Cystatin M"
"EphA5","Cystatin-S"
"EphA5","Cytochrome c"
"EphA5","D-dimer"
"EphA5","DAF"
"EphA5","DAN"
"EphA5","DBNL"
"EphA5","DEAD-box protein 19B"
"EphA5","DKK1"
"EphA5","DKK3"
"EphA5","DLC8"
"EphA5","DLL4"
"EphA5","DLRB1"
"EphA5","DMP1"
"EphA5","DPP2"
"EphA5","DR6"
"EphA5","DRAK2"
"EphA5","DRG-1"
"EphA5","DSC3"
"EphA5","DcR3"
"EphA5","Desmoglein-2"
"EphA5","Dkk-4"
"EphA5","Dtk"
"EphA5","Dynactin subunit 2"
"EphA5","ECM1"
"EphA5","EF-1-beta"
"EphA5","EG-VEGF"
"EphA5","EMAP-2"
"EphA5","EMR2"
"EphA5","EPHA3"
"EphA5","EPHAA"
"EphA5","EPHB2"
"EphA5","ER"
"EphA5","ERAB"
"EphA5","ERBB1"
"EphA5","ERBB2"
"EphA5","ERBB3"
"EphA5","ERBB4"
"EphA5","ERK-1"
"EphA5","ESPN"
"EphA5","Endocan"
"EphA5","Endoglin"
"EphA5","Enterokinase"
"EphA5","Eotaxin"
"EphA5","Eotaxin-2"
"EphA5","EphA5"
"EphA5","EphB4"
"EphA5","EphB6"
"EphA5","Ephrin-A4"
"EphA5","Ephrin-A5"
"EphA5","Epithelial cell kinase"
"EphA5","F229A"
"EphA5","FABPE"
"EphA5","FAK1"
"EphA5","FAM107B"
"EphA5","FCG2A/B"
"EphA5","FCGR1"
"EphA5","FER"
"EphA5","FGF-12"
"EphA5","FGF-16"
"EphA5","FGF-18"
"EphA5","FGF-20"
"EphA5","FGF-5"
"EphA5","FGF9"
"EphA5","FGFR-2"
"EphA5","FGFR-3"
"EphA5","FSH"
"EphA5","FSTL3"
"EphA5","Fas ligand, soluble"
"EphA5","Ferritin"
"EphA5","Fibrinogen"
"EphA5","Flt-3"
"EphA5","GAS1"
"EphA5","GCKR"
"EphA5","GCP-2"
"EphA5","GDF2"
"EphA5","GFRa-1"
"EphA5","GHC2"
"EphA5","GIB"
"EphA5","GITR"
"EphA5","GM-CSF"
"EphA5","GNT2C"
"EphA5","GP114"
"EphA5","GPC2"
"EphA5","GPNMB"
"EphA5","GPVI"
"EphA5","GRB2-related adapter protein 2"
"EphA5","GREM1"
"EphA5","GSK-3 alpha/beta"
"EphA5","GV"
"EphA5","Galectin-2"
"EphA5","Galectin-4"
"EphA5","Galectin-8"
"EphA5","Glypican 3"
"EphA5","Granzyme H"
"EphA5","Gro-a"
"EphA5","Gro-b/g"
"EphA5","H6ST1"
"EphA5","HAI-1"
"EphA5","HB-EGF"
"EphA5","HCG"
"EphA5","HCK"
"EphA5","HDGR2"
"EphA5","HIV-2 Rev"
"EphA5","HMGR"
"EphA5","HPLN1"
"EphA5","HPV E7 Type 16"
"EphA5","HPV E7 Type18"
"EphA5","HSP 40"
"EphA5","HSP 60"
"EphA5","HSP 70"
"EphA5","HSP 90a/b"
"EphA5","HTRA2"
"EphA5","HVEM"
"EphA5","Hemoglobin"
"EphA5","Histone H1.2"
"EphA5","ICOS"
"EphA5","IDS"
"EphA5","IF4A3"
"EphA5","IF4G2"
"EphA5","IFN-g"
"EphA5","IFN-g R1"
"EphA5","IFN-lambda 2"
"EphA5","IGF-I"
"EphA5","IGF-I sR"
"EphA5","IGF-II receptor"
"EphA5","IGFBP-1"
"EphA5","IGFBP-3"
"EphA5","IGFBP-5"
"EphA5","IGFBP-7"
"EphA5","IL-1 sR9"
"EphA5","IL-1 sRI"
"EphA5","IL-11 RA"
"EphA5","IL-12"
"EphA5","IL-13"
"EphA5","IL-13 Ra1"
"EphA5","IL-17 RD"
"EphA5","IL-17 sR"
"EphA5","IL-17B"
"EphA5","IL-17B R"
"EphA5","IL-17E"
"EphA5","IL-18 BPa"
"EphA5","IL-19"
"EphA5","IL-1a"
"EphA5","IL-1b"
"EphA5","IL-2 sRg"
"EphA5","IL-20"
"EphA5","IL-20 Ra"
"EphA5","IL-22BP"
"EphA5","IL-23"
"EphA5","IL-27"
"EphA5","IL-3 Ra"
"EphA5","IL-4"
"EphA5","IL-4 sR"
"EphA5","IL-6"
"EphA5","IL-6 sRa"
"EphA5","IL-7 Ra"
"EphA5","IMB1"
"EphA5","IR"
"EphA5","ISM1"
"EphA5","IgD"
"EphA5","IgG"
"EphA5","IgM"
"EphA5","Inhibin bA chain"
"EphA5","Integrin a1b1"
"EphA5","Integrin aVb5"
"EphA5","JAG1"
"EphA5","JAG2"
"EphA5","JAK2"
"EphA5","JAM-C"
"EphA5","JAML1"
"EphA5","JNK2"
"EphA5","K-ras"
"EphA5","KI2L4"
"EphA5","KI3L2"
"EphA5","KI3S1"
"EphA5","KIAP"
"EphA5","KIRR3"
"EphA5","KREM2"
"EphA5","Kallikrein 4"
"EphA5","LDH-H 1"
"EphA5","LIF sR"
"EphA5","LIMP II"
"EphA5","LRIG3"
"EphA5","LRP8"
"EphA5","LRRT3"
"EphA5","LSAMP"
"EphA5","LY9"
"EphA5","LYN"
"EphA5","LYNB"
"EphA5","Laminin"
"EphA5","Livin B"
"EphA5","Luteinizing hormone"
"EphA5","Lymphotactin"
"EphA5","Lymphotoxin a1/b2"
"EphA5","Lymphotoxin a2/b1"
"EphA5","M-CSF R"
"EphA5","M2-PK"
"EphA5","MAPK14"
"EphA5","MAPK2"
"EphA5","MAPKAPK3"
"EphA5","MATK"
"EphA5","MATN2"
"EphA5","MCP-1"
"EphA5","MCP-2"
"EphA5","MCP-3"
"EphA5","MCP-4"
"EphA5","MDHC"
"EphA5","MEPE"
"EphA5","METAP1"
"EphA5","MIA"
"EphA5","MICA"
"EphA5","MIP-3a"
"EphA5","MK01"
"EphA5","MK13"
"EphA5","MMP-1"
"EphA5","MMP-10"
"EphA5","MMP-13"
"EphA5","MMP-14"
"EphA5","MMP-16"
"EphA5","MMP-2"
"EphA5","MMP-7"
"EphA5","MO2R1"
"EphA5","MOZ"
"EphA5","MRC2"
"EphA5","Macrophage scavenger receptor"
"EphA5","Mammaglobin 2"
"EphA5","Met"
"EphA5","Midkine"
"EphA5","Myokinase, human"
"EphA5","NACA"
"EphA5","NANOG"
"EphA5","NAP-2"
"EphA5","NCAM-120"
"EphA5","NCAM-L1"
"EphA5","NCAM1"
"EphA5","NDP kinase B"
"EphA5","NET4"
"EphA5","NG36"
"EphA5","NKG2D"
"EphA5","NKp30"
"EphA5","NKp46"
"EphA5","NMT1"
"EphA5","NOTC2"
"EphA5","NR1D1"
"EphA5","NRP1"
"EphA5","NRX1B"
"EphA5","NRX3A"
"EphA5","NRX3B"
"EphA5","Nectin-like protein 1"
"EphA5","Nectin-like protein 2"
"EphA5","Neurotrophin-3"
"EphA5","Neurotrophin-5"
"EphA5","Notch 1"
"EphA5","Notch-3"
"EphA5","NovH"
"EphA5","Nr-CAM"
"EphA5","OLR1"
"EphA5","OMD"
"EphA5","ON"
"EphA5","OX2G"
"EphA5","OX40 Ligand"
"EphA5","Olfactomedin-4"
"EphA5","P-Selectin"
"EphA5","PA2G4"
"EphA5","PACA"
"EphA5","PACAP-27"
"EphA5","PACAP-38"
"EphA5","PAFAH beta subunit"
"EphA5","PAK6"
"EphA5","PAK7"
"EphA5","PAPP-A"
"EphA5","PBP"
"EphA5","PDE11"
"EphA5","PDE5A"
"EphA5","PDE9A"
"EphA5","PDGF-AA"
"EphA5","PDGF-BB"
"EphA5","PDGF-CC"
"EphA5","PDPK1"
"EphA5","PESC"
"EphA5","PF-4"
"EphA5","PHI"
"EphA5","PIK3CA/PIK3R1"
"EphA5","PIM1"
"EphA5","PKB a/b/g"
"EphA5","PKC-A"
"EphA5","PKC-B-II"
"EphA5","PKC-G"
"EphA5","PLK-1"
"EphA5","PLPP"
"EphA5","PPID"
"EphA5","PPIE"
"EphA5","PPase"
"EphA5","PRL"
"EphA5","PSD7"
"EphA5","PSME3"
"EphA5","PTN"
"EphA5","Parathyroid Hormone1-34"
"EphA5","Periostin"
"EphA5","Peroxiredoxin-6"
"EphA5","PlGF"
"EphA5","Protein disulfide isomerase A3"
"EphA5","Protein disulfide-isomerase"
"EphA5","RAC1"
"EphA5","RAN"
"EphA5","RANTES"
"EphA5","RBM39"
"EphA5","RELT"
"EphA5","RGM-C"
"EphA5","RGMA"
"EphA5","RGMB"
"EphA5","ROBO2"
"EphA5","ROBO3"
"EphA5","ROR1"
"EphA5","RPS6KA3"
"EphA5","RSK-like protein kinase"
"EphA5","RSPO2"
"EphA5","RTN4"
"EphA5","Rab GDP dissociation inhibitor beta"
"EphA5","Renin"
"EphA5","SARP-2"
"EphA5","SBDS"
"EphA5","SE6L2"
"EphA5","SEPR"
"EphA5","SET"
"EphA5","SGTA"
"EphA5","SLIK5"
"EphA5","SNAA"
"EphA5","SPARCL1"
"EphA5","SPTA2"
"EphA5","SRCN1"
"EphA5","SREC-I"
"EphA5","SREC-II"
"EphA5","SSRP1"
"EphA5","ST4S6"
"EphA5","STAB2"
"EphA5","Secretin"
"EphA5","Semaphorin 3E"
"EphA5","Semaphorin-6A"
"EphA5","Siglec-3"
"EphA5","Siglec-6"
"EphA5","Somatostatin-28"
"EphA5","Sorting nexin 4"
"EphA5","Sphingosine kinase 1"
"EphA5","Spondin-1"
"EphA5","Stress-induced-phosphoprotein 1"
"EphA5","TAJ"
"EphA5","TAK1-TAB1"
"EphA5","TARC"
"EphA5","TBK1"
"EphA5","TCCR"
"EphA5","TCTP"
"EphA5","TFF3"
"EphA5","TGF-b R III"
"EphA5","TGF-b1"
"EphA5","TGF-b2"
"EphA5","TIMD3"
"EphA5","TIMP-2"
"EphA5","TLR2"
"EphA5","TLR4:MD-2 complex"
"EphA5","TNF sR-I"
"EphA5","TNF sR-II"
"EphA5","TNF-a"
"EphA5","TNFSF15"
"EphA5","TNR4"
"EphA5","TPSG1"
"EphA5","TS"
"EphA5","TSG-6"
"EphA5","TSH"
"EphA5","TSLP R"
"EphA5","TSP4"
"EphA5","TWEAKR"
"EphA5","TYK2"
"EphA5","Tenascin"
"EphA5","Thrombospondin-1"
"EphA5","Transferrin"
"EphA5","Transketolase"
"EphA5","Triosephosphate isomerase"
"EphA5","TrkB"
"EphA5","TrkC"
"EphA5","UB2L3"
"EphA5","UBC9"
"EphA5","UFC1"
"EphA5","UFM1"
"EphA5","ULBP-1"
"EphA5","ULBP-2"
"EphA5","UNC5H3"
"EphA5","UNC5H4"
"EphA5","URB"
"EphA5","Ubiquitin+1"
"EphA5","VEGF"
"EphA5","VEGF sR3"
"EphA5","VEGF121"
"EphA5","WFKN1"
"EphA5","WFKN2"
"EphA5","WISP-1"
"EphA5","WNT7A"
"EphA5","XEDAR"
"EphA5","XPNPEP1"
"EphA5","XTP3A"
"EphA5","YES"
"EphA5","a1-Antichymotrypsin"
"EphA5","a2-HS-Glycoprotein"
"EphA5","amyloid precursor protein"
"EphA5","annexin I"
"EphA5","annexin VI"
"EphA5","b-ECGF"
"EphA5","b-Endorphin"
"EphA5","b-NGF"
"EphA5","bFGF-R"
"EphA5","carbonic anhydrase II"
"EphA5","contactin-1"
"EphA5","discoidin domain receptor 1"
"EphA5","dopa decarboxylase"
"EphA5","eIF-5A-1"
"EphA5","gp130, soluble"
"EphA5","gpIIbIIIa"
"EphA5","granzyme A"
"EphA5","kallikrein 14"
"EphA5","kallikrein 8"
"EphA5","p60-Src"
"EphA5","prostatic binding protein"
"EphA5","sICAM-5"
"EphA5","sTie-2"
"EphA5","tau"
"EphA5","transcription factor MLR1, isoform CRA_b"
"EphA5","uPA"
"EphB4","14-3-3"
"EphB4","4-1BB"
"EphB4","40S ribosomal protein SA"
"EphB4","41"
"EphB4","6-Phosphogluconate dehydrogenase"
"EphB4","ABL1"
"EphB4","ADAMTS-4"
"EphB4","ADAMTS-5"
"EphB4","AIP"
"EphB4","AK1A1"
"EphB4","ALCAM"
"EphB4","AMHR2"
"EphB4","AMNLS"
"EphB4","AMPM2"
"EphB4","AREG"
"EphB4","ART"
"EphB4","ASGR1"
"EphB4","ATP synthase beta chain"
"EphB4","ATS15"
"EphB4","Activin A"
"EphB4","Activin AB"
"EphB4","Adiponectin"
"EphB4","Afamin"
"EphB4","Aflatoxin B1 aldehyde reductase"
"EphB4","Aggrecan"
"EphB4","Albumin"
"EphB4","Alkaline phosphatase, bone"
"EphB4","Angiopoietin-1"
"EphB4","Angiopoietin-2"
"EphB4","Angiopoietin-4"
"EphB4","Antithrombin III"
"EphB4","Apo D"
"EphB4","Apo E2"
"EphB4","Apo E3"
"EphB4","Apo E4"
"EphB4","Arylsulfatase A"
"EphB4","B7-H1"
"EphB4","B7-H2"
"EphB4","BAFF"
"EphB4","BAFF Receptor"
"EphB4","BASI"
"EphB4","BCAM"
"EphB4","BDNF"
"EphB4","BGN"
"EphB4","BLC"
"EphB4","BMP RII"
"EphB4","BMP-1"
"EphB4","BMP-7"
"EphB4","BMP10"
"EphB4","BMPER"
"EphB4","BMPR1A"
"EphB4","BNP"
"EphB4","BOC"
"EphB4","BPSA"
"EphB4","BSSP4"
"EphB4","BST1"
"EphB4","BTG"
"EphB4","BTK"
"EphB4","Bcl-2"
"EphB4","C1q"
"EphB4","C4"
"EphB4","C4b"
"EphB4","C5b, 6 Complex"
"EphB4","C8"
"EphB4","CAMK2B"
"EphB4","CAMK2D"
"EphB4","CAPG"
"EphB4","CATZ"
"EphB4","CD226"
"EphB4","CD39"
"EphB4","CD48"
"EphB4","CD70"
"EphB4","CD97"
"EphB4","CDC37"
"EphB4","CDK1/cyclin B"
"EphB4","CDK2/cyclin A"
"EphB4","CDK5/p35"
"EphB4","CDON"
"EphB4","CG073"
"EphB4","CHL1"
"EphB4","CHST6"
"EphB4","CK-BB"
"EphB4","CK2-A1:B"
"EphB4","CLC1B"
"EphB4","CLC4K"
"EphB4","CLF-1/CLC Complex"
"EphB4","CNTF"
"EphB4","CNTFR alpha"
"EphB4","CNTN2"
"EphB4","CO8A1"
"EphB4","COLEC12"
"EphB4","CONA1"
"EphB4","CRDL1"
"EphB4","CRK"
"EphB4","CRP"
"EphB4","CRTAM"
"EphB4","CS084"
"EphB4","CSF-1"
"EphB4","CSK"
"EphB4","CTAP-III"
"EphB4","CTGF"
"EphB4","CXCL16, soluble"
"EphB4","CYTD"
"EphB4","CaMKK alpha"
"EphB4","Cadherin-5"
"EphB4","Calcineurin"
"EphB4","Calcineurin B a"
"EphB4","Calpain I"
"EphB4","Carbonic anhydrase 9"
"EphB4","Carbonic anhydrase VII"
"EphB4","Carbonic anhydrase XIII"
"EphB4","Caspase-3"
"EphB4","Cathepsin B"
"EphB4","Cathepsin H"
"EphB4","Ck-b-8-1"
"EphB4","Clusterin"
"EphB4","Cofilin-1"
"EphB4","Contactin-4"
"EphB4","Corticotropin-lipotropin"
"EphB4","Cripto"
"EphB4","Cyclin B1"
"EphB4","Cyclophilin A"
"EphB4","Cyclophilin F"
"EphB4","Cystatin C"
"EphB4","Cystatin M"
"EphB4","Cystatin-S"
"EphB4","Cytochrome c"
"EphB4","D-dimer"
"EphB4","DAF"
"EphB4","DAN"
"EphB4","DEAD-box protein 19B"
"EphB4","DHH"
"EphB4","DKK1"
"EphB4","DKK3"
"EphB4","DLC8"
"EphB4","DLL1"
"EphB4","DLL4"
"EphB4","DLRB1"
"EphB4","DMP1"
"EphB4","DPP2"
"EphB4","DR6"
"EphB4","DRAK2"
"EphB4","DRG-1"
"EphB4","DSC3"
"EphB4","DUS3"
"EphB4","DYRK3"
"EphB4","DcR3"
"EphB4","Desmoglein-2"
"EphB4","Dtk"
"EphB4","Dynactin subunit 2"
"EphB4","EF-1-beta"
"EphB4","EG-VEGF"
"EphB4","EGFRvIII"
"EphB4","EMAP-2"
"EphB4","EP15R"
"EphB4","EPHA3"
"EphB4","EPHAA"
"EphB4","EPHB2"
"EphB4","EPO-R"
"EphB4","ER"
"EphB4","ERAB"
"EphB4","ERBB1"
"EphB4","ERBB3"
"EphB4","ERBB4"
"EphB4","ERK-1"
"EphB4","ESAM"
"EphB4","ESPN"
"EphB4","Endoglin"
"EphB4","Endostatin"
"EphB4","Enterokinase"
"EphB4","Eotaxin"
"EphB4","EphA1"
"EphB4","EphA5"
"EphB4","EphB4"
"EphB4","EphB6"
"EphB4","Ephrin-A4"
"EphB4","Ephrin-A5"
"EphB4","Epithelial cell kinase"
"EphB4","F229A"
"EphB4","FAM107B"
"EphB4","FCG2A/B"
"EphB4","FCGR1"
"EphB4","FER"
"EphB4","FGF-12"
"EphB4","FGF-16"
"EphB4","FGF-18"
"EphB4","FGF-19"
"EphB4","FGF-8F"
"EphB4","FGF23"
"EphB4","FGF7"
"EphB4","FGF9"
"EphB4","FSH"
"EphB4","FSTL3"
"EphB4","Fas ligand, soluble"
"EphB4","Ferritin"
"EphB4","Fibrinogen"
"EphB4","GAS1"
"EphB4","GCKR"
"EphB4","GCP-2"
"EphB4","GDF-11"
"EphB4","GDF2"
"EphB4","GFRa-1"
"EphB4","GHC2"
"EphB4","GNT2C"
"EphB4","GP114"
"EphB4","GPC2"
"EphB4","GPNMB"
"EphB4","GPVI"
"EphB4","GRB2-related adapter protein 2"
"EphB4","GREM1"
"EphB4","GRN"
"EphB4","GSK-3 alpha/beta"
"EphB4","GSTA3"
"EphB4","GV"
"EphB4","Galectin-8"
"EphB4","Glypican 3"
"EphB4","Granzyme B"
"EphB4","Gro-a"
"EphB4","HB-EGF"
"EphB4","HCG"
"EphB4","HCK"
"EphB4","HDGR2"
"EphB4","HIPK3"
"EphB4","HIV-2 Rev"
"EphB4","HMGR"
"EphB4","HPLN1"
"EphB4","HPV E7 Type 16"
"EphB4","HPV E7 Type18"
"EphB4","HSP 40"
"EphB4","HSP 60"
"EphB4","HSP 70"
"EphB4","HSP 90a/b"
"EphB4","HTRA2"
"EphB4","HVEM"
"EphB4","Hemoglobin"
"EphB4","Histone H2A.z"
"EphB4","IDS"
"EphB4","IF4G2"
"EphB4","IFN-g"
"EphB4","IFN-g R1"
"EphB4","IFN-lambda 2"
"EphB4","IGF-I"
"EphB4","IGF-I sR"
"EphB4","IGF-II receptor"
"EphB4","IGFBP-1"
"EphB4","IGFBP-2"
"EphB4","IGFBP-6"
"EphB4","IL-1 R AcP"
"EphB4","IL-1 sR9"
"EphB4","IL-1 sRI"
"EphB4","IL-10"
"EphB4","IL-11 RA"
"EphB4","IL-12"
"EphB4","IL-12 Rb1"
"EphB4","IL-13 Ra1"
"EphB4","IL-17 RC"
"EphB4","IL-17 RD"
"EphB4","IL-17 sR"
"EphB4","IL-17B"
"EphB4","IL-17B R"
"EphB4","IL-17E"
"EphB4","IL-18 BPa"
"EphB4","IL-1a"
"EphB4","IL-1b"
"EphB4","IL-2 sRg"
"EphB4","IL-20"
"EphB4","IL-20 Ra"
"EphB4","IL-22BP"
"EphB4","IL-23"
"EphB4","IL-27"
"EphB4","IL-3 Ra"
"EphB4","IL-4 sR"
"EphB4","IL-6"
"EphB4","IL-7 Ra"
"EphB4","IMB1"
"EphB4","ING1"
"EphB4","IR"
"EphB4","ISM1"
"EphB4","IgG"
"EphB4","IgM"
"EphB4","Inhibin bA chain"
"EphB4","Integrin a1b1"
"EphB4","Integrin aVb5"
"EphB4","JAK2"
"EphB4","JAM-C"
"EphB4","JNK2"
"EphB4","K-ras"
"EphB4","KI2L4"
"EphB4","KIF23"
"EphB4","KIRR3"
"EphB4","KPCI"
"EphB4","Kallikrein 4"
"EphB4","LCK"
"EphB4","LDH-H 1"
"EphB4","LIF sR"
"EphB4","LIMP II"
"EphB4","LRIG3"
"EphB4","LRP8"
"EphB4","LRRT3"
"EphB4","LSAMP"
"EphB4","LY86"
"EphB4","LYN"
"EphB4","LYNB"
"EphB4","Laminin"
"EphB4","Livin B"
"EphB4","Luteinizing hormone"
"EphB4","Lymphotoxin a2/b1"
"EphB4","M-CSF R"
"EphB4","MAPK14"
"EphB4","MAPK2"
"EphB4","MAPKAPK3"
"EphB4","MATK"
"EphB4","MATN2"
"EphB4","MCP-1"
"EphB4","MCP-2"
"EphB4","MCP-4"
"EphB4","MDHC"
"EphB4","MDM2"
"EphB4","MEPE"
"EphB4","METAP1"
"EphB4","MFGM"
"EphB4","MIA"
"EphB4","MICA"
"EphB4","MICB"
"EphB4","MIP-3a"
"EphB4","MK01"
"EphB4","MMP-1"
"EphB4","MMP-10"
"EphB4","MMP-13"
"EphB4","MMP-16"
"EphB4","MMP-2"
"EphB4","MMP-7"
"EphB4","MO2R1"
"EphB4","MOZ"
"EphB4","MP2K2"
"EphB4","MRC2"
"EphB4","Macrophage mannose receptor"
"EphB4","Macrophage scavenger receptor"
"EphB4","Mammaglobin 2"
"EphB4","Mesothelin"
"EphB4","Met"
"EphB4","Myokinase, human"
"EphB4","N-terminal pro-BNP"
"EphB4","NACA"
"EphB4","NANOG"
"EphB4","NAP-2"
"EphB4","NCAM-120"
"EphB4","NCAM-L1"
"EphB4","NCAM1"
"EphB4","NDP kinase B"
"EphB4","NET4"
"EphB4","NG36"
"EphB4","NKp30"
"EphB4","NKp46"
"EphB4","NMT1"
"EphB4","NOTC2"
"EphB4","NRP1"
"EphB4","NRX1B"
"EphB4","NRX3A"
"EphB4","NRX3B"
"EphB4","NSF1C"
"EphB4","Nectin-like protein 1"
"EphB4","Nectin-like protein 2"
"EphB4","Neurotrophin-5"
"EphB4","Notch 1"
"EphB4","Notch-3"
"EphB4","NovH"
"EphB4","Nr-CAM"
"EphB4","OLR1"
"EphB4","OMD"
"EphB4","ON"
"EphB4","OX2G"
"EphB4","Olfactomedin-4"
"EphB4","P-Selectin"
"EphB4","PA2G4"
"EphB4","PACA"
"EphB4","PACAP-27"
"EphB4","PACAP-38"
"EphB4","PAFAH beta subunit"
"EphB4","PAK6"
"EphB4","PAK7"
"EphB4","PAPP-A"
"EphB4","PBP"
"EphB4","PD-L2"
"EphB4","PDE11"
"EphB4","PDE5A"
"EphB4","PDE9A"
"EphB4","PDGF-AA"
"EphB4","PDGF-BB"
"EphB4","PDGF-CC"
"EphB4","PDPK1"
"EphB4","PERL"
"EphB4","PESC"
"EphB4","PF-4"
"EphB4","PHI"
"EphB4","PIM1"
"EphB4","PKB a/b/g"
"EphB4","PKC-A"
"EphB4","PKC-B-II"
"EphB4","PKC-G"
"EphB4","PLK-1"
"EphB4","PLPP"
"EphB4","PPID"
"EphB4","PPIE"
"EphB4","PPase"
"EphB4","PRL"
"EphB4","PSA2"
"EphB4","PSD7"
"EphB4","PSME1"
"EphB4","PTN"
"EphB4","PTP-1B"
"EphB4","Parathyroid Hormone1-34"
"EphB4","Periostin"
"EphB4","Peroxiredoxin-6"
"EphB4","PlGF"
"EphB4","Prolactin Receptor"
"EphB4","Protease nexin I"
"EphB4","Protein disulfide isomerase A3"
"EphB4","Protein disulfide-isomerase"
"EphB4","RAC1"
"EphB4","RAN"
"EphB4","RANK"
"EphB4","RANTES"
"EphB4","RELT"
"EphB4","RGM-C"
"EphB4","RGMA"
"EphB4","RGMB"
"EphB4","ROBO2"
"EphB4","ROBO3"
"EphB4","ROR1"
"EphB4","RPS6KA3"
"EphB4","RSK-like protein kinase"
"EphB4","RTN4"
"EphB4","RUXF"
"EphB4","Rab GDP dissociation inhibitor beta"
